model,hidden,layers,window,dropout,lr,batch,val_rmse,rmse,mae
LSTM,32,2,40,0.23967437271215514,0.0015106440995021396,256,10.434516705572605,14.499212727663734,10.396658349037171
LSTM,32,2,40,0.17901102691759402,0.003918216858764312,256,10.551433078944683,14.58343285827734,10.886980319023133
LSTM,32,2,40,0.15004425461209112,0.006421611776271729,512,10.554555803537369,14.336520211334886,10.487820830345154
LSTM,32,2,40,0.24858295597275343,0.002218243624560573,256,10.627455078065395,14.258187295890462,10.11045868396759
LSTM,32,2,40,0.14177693243996636,0.0030256453443749842,256,10.65412349998951,14.43432077677877,10.2847243309021
LSTM,32,2,40,0.2462927847632514,0.0014433136606180758,256,10.71484386920929,14.34930851076896,10.426572909355164
LSTM,128,1,35,0.29617763551661724,0.006288076133945359,512,10.821477510035038,14.181695830595208,10.516608667373657
LSTM,96,2,40,0.19682210860460017,0.0022093834415066287,128,10.848264209926128,14.697178034791296,10.793169498443604
LSTM,64,2,40,0.2044084209482697,0.005691724395297373,512,10.905047878623009,14.242746561327586,10.929611506462097
LSTM,128,1,35,0.18986621875283127,0.00843327312326381,512,10.95430925488472,13.989190963708667,10.362312741279602
LSTM,64,2,40,0.1250560453978124,0.0078017468360219435,256,10.960523039102554,14.762932087764522,10.783610434532166
LSTM,128,2,35,0.3457586182416895,0.009149930448483062,256,11.130111292004585,14.397900088008376,10.758564443588257
LSTM,128,2,35,0.3916028672163949,0.0034877126245459306,256,11.160174384713173,14.674911908059228,11.115223939418792
LSTM,128,1,35,0.2955342713614232,0.0012929904367897174,512,11.33994571864605,14.589288075337581,10.93017007112503
LSTM,96,2,40,0.27894221933038743,0.0005574039342342603,128,11.36662345379591,14.867558154377631,10.831327328681946
LSTM,64,1,35,0.3056937753654446,0.0015304852121831463,256,11.381641030311584,14.50014295421116,10.679660300016403
LSTM,32,2,40,0.27023641676492827,0.003002209283662405,128,11.415475979447365,14.96926814883835,10.371837491989135
LSTM,96,2,40,0.28910395926034005,0.008146361431079016,128,11.450761929154396,14.944281336122303,10.738842821121215
LSTM,32,2,30,0.38529791488919807,0.0033233042062267943,256,12.004570104181767,14.71363591568989,11.166452956199645
LSTM,128,1,35,0.17274218326403232,0.0015699814629721,512,12.125321663916111,15.56919494164428,11.935080869197845
LSTM,128,2,40,0.13448461285814461,0.0014765447724936157,128,12.22280040383339,15.409309746418014,11.215816466808318
LSTM,32,2,30,0.4022204554172195,0.00028681134821030097,256,12.552502565085888,15.49171821510379,11.404186210632325
LSTM,32,1,35,0.1440207698110707,0.000285673742984719,512,12.629079632461071,15.653849460252664,11.968246183395387
LSTM,64,1,25,0.4879639408647978,0.004622589001020831,128,12.65802513808012,14.461026931980156,10.639970338344574
LSTM,96,1,25,0.23013213230530574,0.0005989003672254305,256,13.003385625779629,14.56460669781639,10.675517568588257
LSTM,64,2,20,0.4887128330883843,0.008411909465645722,256,13.538753613829613,16.38174288550665,11.387268781661987
LSTM,96,2,20,0.1638155819963576,0.0031810351171750128,128,13.600765727460384,16.57584214902504,11.788880586624146
LSTM,128,1,20,0.3820943373357976,0.005388000792428441,512,13.707153499126434,16.173355918988197,11.726150331497193
LSTM,32,2,20,0.20911746709868292,0.003854304238747902,256,13.777878135442734,16.581458166725636,11.709886665344237
LSTM,96,1,20,0.4637281608315128,0.00032927591344236165,128,14.266211539506912,16.601032441122314,12.000609378814698
