model,n_estimators,max_depth,max_features,rmse,mae
RF,500,12,sqrt,18.526634054841857,13.338899102561895
RF,200,12,sqrt,18.575874833758476,13.345442253195333
RF,200,12,0.5,18.67344530563618,13.473777810653655
RF,500,12,0.5,18.759347598078058,13.535649765846392
RF,200,-1,sqrt,18.901632098842683,13.6754
RF,200,20,sqrt,18.913999574898074,13.654702490127892
RF,500,-1,sqrt,18.92314578921803,13.749680000000003
RF,500,20,sqrt,19.037455578261092,13.820016995564245
RF,500,-1,0.5,19.114459110317508,13.866579999999999
RF,200,-1,0.5,19.187000319226552,13.946149999999998
RF,500,20,0.5,19.200467878239007,14.005480795558583
RF,200,20,0.5,19.284915813503705,14.03523348790702
